city	date	avg_temp	high_temp	low_temp
Auckland	2016-01-01	65	68	62
Auckland	2016-01-02	66	68	64
Auckland	2016-01-03	72	77	66
Auckland	2016-01-04	66	73	60
Auckland	2016-01-05	62	69	55
Auckland	2016-01-06	63	69	57
Auckland	2016-01-07	66	71	60
Auckland	2016-01-08	70	77	64
Auckland	2016-01-09	66	69	64
Auckland	2016-01-10	66	71	62
Auckland	2016-01-11	67	75	59
Auckland	2016-01-12	66	69	62
Auckland	2016-01-13	66	71	62
Auckland	2016-01-14	68	75	62
Auckland	2016-01-15	68	75	62
Auckland	2016-01-16	68	78	59
Auckland	2016-01-17	72	78	66
Auckland	2016-01-18	72	77	68
Auckland	2016-01-19	68	75	62
Auckland	2016-01-20	68	75	62
Auckland	2016-01-21	71	78	64
Auckland	2016-01-22	70	77	62
Auckland	2016-01-23	68	78	59
Auckland	2016-01-24	71	82	60
Auckland	2016-01-25	73	82	64
Auckland	2016-01-26	72	80	64
Auckland	2016-01-27	73	77	69
Auckland	2016-01-28	73	78	68
Auckland	2016-01-29	72	77	68
Auckland	2016-01-30	72	78	66
Auckland	2016-01-31	73	80	66
Auckland	2016-02-01	73	78	68
Auckland	2016-02-02	72	78	66
Auckland	2016-02-03	72	78	66
Auckland	2016-02-04	70	77	64
Auckland	2016-02-05	70	75	66
Auckland	2016-02-06	72	78	66
Auckland	2016-02-07	74	80	68
Auckland	2016-02-08	70	75	66
Auckland	2016-02-09	70	75	66
Auckland	2016-02-10	72	78	66
Auckland	2016-02-11	71	78	64
Auckland	2016-02-12	71	78	64
Auckland	2016-02-13	71	80	62
Auckland	2016-02-14	71	78	64
Auckland	2016-02-15	71	78	64
Auckland	2016-02-16	72	77	66
Auckland	2016-02-17	68	71	66
Auckland	2016-02-18	73	78	68
Auckland	2016-02-19	70	77	64
Auckland	2016-02-20	67	75	59
Auckland	2016-02-21	70	75	66
Auckland	2016-02-22	69	78	60
Auckland	2016-02-23	70	77	62
Auckland	2016-02-24	68	77	60
Auckland	2016-02-25	66	75	57
Auckland	2016-02-26	69	78	60
Auckland	2016-02-27	71	80	62
Auckland	2016-02-28	74	78	69
Auckland	2016-02-29	70	73	68
Auckland	2016-03-01	68	71	64
Auckland	2016-03-02	68	73	62
Auckland	2016-03-03	68	75	60
Auckland	2016-03-04	68	75	60
Auckland	2016-03-05	68	77	60
Auckland	2016-03-06	67	75	59
Auckland	2016-03-07	72	75	69
Auckland	2016-03-08	72	75	68
Auckland	2016-03-09	68	73	64
Auckland	2016-03-10	64	73	55
Auckland	2016-03-11	68	73	64
Auckland	2016-03-12	63	71	55
Auckland	2016-03-13	64	73	55
Auckland	2016-03-14	64	73	55
Auckland	2016-03-15	67	75	59
Auckland	2016-03-16	72	77	66
Auckland	2016-03-17	66	69	62
Auckland	2016-03-18	68	75	62
Auckland	2016-03-19	68	73	62
Auckland	2016-03-20	68	75	62
Auckland	2016-03-21	68	77	60
Auckland	2016-03-22	70	75	64
Auckland	2016-03-23	70	71	68
Auckland	2016-03-24	70	73	68
Auckland	2016-03-25	70	75	66
Auckland	2016-03-26	70	75	64
Auckland	2016-03-27	68	73	62
Auckland	2016-03-28	65	71	59
Auckland	2016-03-29	66	73	59
Auckland	2016-03-30	66	73	59
Auckland	2016-03-31	63	69	57
Auckland	2016-04-01	66	69	62
Auckland	2016-04-02	72	78	66
Auckland	2016-04-03	70	75	64
Auckland	2016-04-04	66	71	60
Auckland	2016-04-05	63	69	57
Auckland	2016-04-06	59	68	50
Auckland	2016-04-07	59	68	50
Auckland	2016-04-08	62	69	55
Auckland	2016-04-09	62	69	55
Auckland	2016-04-10	60	68	51
Auckland	2016-04-11	63	69	57
Auckland	2016-04-12	65	73	57
Auckland	2016-04-13	62	66	57
Auckland	2016-04-14	62	69	55
Auckland	2016-04-15	59	68	50
Auckland	2016-04-16	60	68	53
Auckland	2016-04-17	62	66	59
Auckland	2016-04-18	64	69	60
Auckland	2016-04-19	63	69	57
Auckland	2016-04-20	62	68	55
Auckland	2016-04-21	62	69	55
Auckland	2016-04-22	64	71	57
Auckland	2016-04-23	61	71	51
Auckland	2016-04-24	62	64	59
Auckland	2016-04-25	64	68	59
Auckland	2016-04-26	64	68	57
Auckland	2016-04-27	60	68	51
Auckland	2016-04-28	62	66	57
Auckland	2016-04-29	62	64	60
Auckland	2016-04-30	62	68	55
Auckland	2016-05-01	61	69	53
Auckland	2016-05-02	65	73	57
Auckland	2016-05-03	63	73	53
Auckland	2016-05-04	61	71	51
Auckland	2016-05-05	66	71	60
Auckland	2016-05-06	64	68	59
Auckland	2016-05-07	62	68	55
Auckland	2016-05-08	60	64	55
Auckland	2016-05-09	62	69	55
Auckland	2016-05-10	61	69	53
Auckland	2016-05-11	66	69	64
Auckland	2016-05-12	64	68	60
Auckland	2016-05-13	64	71	57
Auckland	2016-05-14	64	69	57
Auckland	2016-05-15	62	68	55
Auckland	2016-05-16	62	68	57
Auckland	2016-05-17	60	66	55
Auckland	2016-05-18	58	66	51
Auckland	2016-05-19	62	66	57
Auckland	2016-05-20	62	68	57
Auckland	2016-05-21	58	62	53
Auckland	2016-05-22	58	62	55
Auckland	2016-05-23	54	57	51
Auckland	2016-05-24	60	64	55
Auckland	2016-05-25	58	64	53
Auckland	2016-05-26	58	64	51
Auckland	2016-05-27	58	64	53
Auckland	2016-05-28	64	68	60
Auckland	2016-05-29	60	66	55
Auckland	2016-05-30	56	60	51
Auckland	2016-05-31	55	59	51
Auckland	2016-06-01	50	57	44
Auckland	2016-06-02	50	57	44
Auckland	2016-06-03	48	57	39
Auckland	2016-06-04	49	59	39
Auckland	2016-06-05	50	59	41
Auckland	2016-06-06	51	60	42
Auckland	2016-06-07	57	64	50
Auckland	2016-06-08	58	62	55
Auckland	2016-06-09	62	66	59
Auckland	2016-06-10	64	68	59
Auckland	2016-06-11	58	62	53
Auckland	2016-06-12	58	62	53
Auckland	2016-06-13	50	57	44
Auckland	2016-06-14	50	59	42
Auckland	2016-06-15	56	60	51
Auckland	2016-06-16	54	62	46
Auckland	2016-06-17	52	59	44
Auckland	2016-06-18	52	57	46
Auckland	2016-06-19	56	60	51
Auckland	2016-06-20	54	64	44
Auckland	2016-06-21	58	64	53
Auckland	2016-06-22	61	62	60
Auckland	2016-06-23	60	62	53
Auckland	2016-06-24	55	60	50
Auckland	2016-06-25	55	60	50
Auckland	2016-06-26	56	62	50
Auckland	2016-06-27	54	60	48
Auckland	2016-06-28	56	60	51
Auckland	2016-06-29	54	57	51
Auckland	2016-06-30	54	59	50
Auckland	2016-07-01	48	53	42
Auckland	2016-07-02	45	55	35
Auckland	2016-07-03	45	55	35
Auckland	2016-07-04	50	60	41
Auckland	2016-07-05	51	60	42
Auckland	2016-07-06	46	51	42
Auckland	2016-07-07	54	59	50
Auckland	2016-07-08	58	60	55
Auckland	2016-07-09	54	59	48
Auckland	2016-07-10	52	57	46
Auckland	2016-07-11	50	57	44
Auckland	2016-07-12	49	57	41
Auckland	2016-07-13	49	59	39
Auckland	2016-07-14	54	59	50
Auckland	2016-07-15	56	60	51
Auckland	2016-07-16	54	57	50
Auckland	2016-07-17	55	59	51
Auckland	2016-07-18	54	57	50
Auckland	2016-07-19	56	60	51
Auckland	2016-07-20	54	57	51
Auckland	2016-07-21	54	57	50
Auckland	2016-07-22	54	59	48
Auckland	2016-07-23	60	62	57
Auckland	2016-07-24	60	64	55
Auckland	2016-07-25	52	59	46
Auckland	2016-07-26	54	60	48
Auckland	2016-07-27	53	60	46
Auckland	2016-07-28	56	60	51
Auckland	2016-07-29	55	59	51
Auckland	2016-07-30	56	60	51
Auckland	2016-07-31	50	55	46
Auckland	2016-08-01	54	59	48
Auckland	2016-08-02	52	57	48
Auckland	2016-08-03	56	60	51
Auckland	2016-08-04	54	57	50
Auckland	2016-08-05	52	57	48
Auckland	2016-08-06	47	50	44
Auckland	2016-08-07	48	51	46
Auckland	2016-08-08	44	51	37
Auckland	2016-08-09	47	55	39
Auckland	2016-08-10	50	53	46
Auckland	2016-08-11	54	59	48
Auckland	2016-08-12	51	60	42
Auckland	2016-08-13	54	59	48
Auckland	2016-08-14	50	59	41
Auckland	2016-08-15	52	57	46
Auckland	2016-08-16	50	60	41
Auckland	2016-08-17	50	59	42
Auckland	2016-08-18	50	59	42
Auckland	2016-08-19	50	57	42
Auckland	2016-08-20	53	60	46
Auckland	2016-08-21	51	60	42
Auckland	2016-08-22	52	60	44
Auckland	2016-08-23	54	60	48
Auckland	2016-08-24	52	57	46
Auckland	2016-08-25	58	60	55
Auckland	2016-08-26	60	64	55
Auckland	2016-08-27	56	60	51
Auckland	2016-08-28	54	60	48
Auckland	2016-08-29	52	57	48
Auckland	2016-08-30	56	60	53
Auckland	2016-08-31	54	60	48
Auckland	2016-09-01	52	59	46
Auckland	2016-09-02	57	64	50
Auckland	2016-09-03	58	60	55
Auckland	2016-09-04	62	66	57
Auckland	2016-09-05	58	60	55
Auckland	2016-09-06	56	60	53
Auckland	2016-09-07	56	60	51
Auckland	2016-09-08	46	51	42
Auckland	2016-09-09	48	53	44
Auckland	2016-09-10	50	57	44
Auckland	2016-09-11	50	60	39
Auckland	2016-09-12	50	59	41
Auckland	2016-09-13	53	62	44
Auckland	2016-09-14	57	64	50
Auckland	2016-09-15	56	57	55
Auckland	2016-09-16	62	68	57
Auckland	2016-09-17	58	60	57
Auckland	2016-09-18	58	62	55
Auckland	2016-09-19	56	60	51
Auckland	2016-09-20	55	60	50
Auckland	2016-09-21	56	60	53
Auckland	2016-09-22	56	62	51
Auckland	2016-09-23	62	66	57
Auckland	2016-09-24	58	62	55
Auckland	2016-09-25	58	60	55
Auckland	2016-09-26	60	64	55
Auckland	2016-09-27	60	64	55
Auckland	2016-09-28	56	60	53
Auckland	2016-09-29	60	66	53
Auckland	2016-09-30	60	66	55
Auckland	2016-10-01	60	66	55
Auckland	2016-10-02	60	64	55
Auckland	2016-10-03	58	64	51
Auckland	2016-10-04	60	64	55
Auckland	2016-10-05	60	64	55
Auckland	2016-10-06	56	60	53
Auckland	2016-10-07	55	60	50
Auckland	2016-10-08	58	62	55
Auckland	2016-10-09	58	64	53
Auckland	2016-10-10	56	59	53
Auckland	2016-10-11	61	69	53
Auckland	2016-10-12	62	66	57
Auckland	2016-10-13	58	62	53
Auckland	2016-10-14	57	66	48
Auckland	2016-10-15	54	60	48
Auckland	2016-10-16	58	62	55
Auckland	2016-10-17	60	64	57
Auckland	2016-10-18	58	64	53
Auckland	2016-10-19	60	69	50
Auckland	2016-10-20	63	69	57
Auckland	2016-10-21	56	62	51
Auckland	2016-10-22	58	62	53
Auckland	2016-10-23	58	64	51
Auckland	2016-10-24	58	66	51
Auckland	2016-10-25	60	66	55
Auckland	2016-10-26	60	66	55
Auckland	2016-10-27	60	64	55
Auckland	2016-10-28	60	66	53
Auckland	2016-10-29	58	62	55
Auckland	2016-10-30	56	60	51
Auckland	2016-10-31	54	62	46
Auckland	2016-11-01	56	68	44
Auckland	2016-11-02	60	64	55
Auckland	2016-11-03	60	64	55
Auckland	2016-11-04	56	62	51
Auckland	2016-11-05	60	66	53
Auckland	2016-11-06	67	75	59
Auckland	2016-11-07	58	64	53
Auckland	2016-11-08	58	64	53
Auckland	2016-11-09	62	66	59
Auckland	2016-11-10	64	69	59
Auckland	2016-11-11	64	69	59
Auckland	2016-11-12	60	64	57
Auckland	2016-11-13	60	64	53
Auckland	2016-11-14	59	68	50
Auckland	2016-11-15	64	66	62
Auckland	2016-11-16	62	66	59
Auckland	2016-11-17	56	62	51
Auckland	2016-11-18	58	64	51
Auckland	2016-11-19	62	64	59
Auckland	2016-11-20	62	64	59
Auckland	2016-11-21	60	64	57
Auckland	2016-11-22	62	66	57
Auckland	2016-11-23	62	66	57
Auckland	2016-11-24	65	73	57
Auckland	2016-11-25	64	68	60
Auckland	2016-11-26	63	71	55
Auckland	2016-11-27	63	69	57
Auckland	2016-11-28	60	64	55
Auckland	2016-11-29	60	64	57
Auckland	2016-11-30	62	68	57
Auckland	2016-12-01	60	69	51
Auckland	2016-12-02	62	68	57
Auckland	2016-12-03	64	69	59
Auckland	2016-12-04	64	68	59
Auckland	2016-12-05	66	73	59
Auckland	2016-12-06	68	77	59
Auckland	2016-12-07	66	71	60
Auckland	2016-12-08	63	66	60
Auckland	2016-12-09	68	77	60
Auckland	2016-12-10	66	71	62
Auckland	2016-12-11	60	66	55
Auckland	2016-12-12	60	66	55
Auckland	2016-12-13	60	66	55
Auckland	2016-12-14	62	66	59
Auckland	2016-12-15	64	71	57
Auckland	2016-12-16	64	68	59
Auckland	2016-12-17	64	68	57
Auckland	2016-12-18	62	71	53
Auckland	2016-12-19	66	73	60
Auckland	2016-12-20	62	68	57
Auckland	2016-12-21	63	75	51
Auckland	2016-12-22	68	77	60
Auckland	2016-12-23	62	68	57
Auckland	2016-12-24	62	68	55
Auckland	2016-12-25	64	69	59
Auckland	2016-12-26	64	69	60
Auckland	2016-12-27	64	68	59
Auckland	2016-12-28	66	71	59
Auckland	2016-12-29	62	64	59
Auckland	2016-12-30	62	71	53
Auckland	2016-12-31	62	71	53
Auckland	2017-01-01	67	75	59
Auckland	2017-01-02	68	75	62
Auckland	2017-01-03	72	77	66
Auckland	2017-01-04	64	68	60
Auckland	2017-01-05	62	68	57
Auckland	2017-01-06	60	69	50
Auckland	2017-01-07	64	69	59
Auckland	2017-01-08	64	69	60
Auckland	2017-01-09	68	73	62
Auckland	2017-01-10	66	73	60
Auckland	2017-01-11	70	75	64
Auckland	2017-01-12	68	77	60
Auckland	2017-01-13	66	73	60
Auckland	2017-01-14	66	73	60
Auckland	2017-01-15	70	77	64
Auckland	2017-01-16	66	71	62
Auckland	2017-01-17	66	71	60
Auckland	2017-01-18	68	73	62
Auckland	2017-01-19	64	69	59
Auckland	2017-01-20	62	68	57
Auckland	2017-01-21	61	71	51
Auckland	2017-01-22	68	73	62
Auckland	2017-01-23	64	69	59
Auckland	2017-01-24	66	71	60
Auckland	2017-01-25	65	71	59
Auckland	2017-01-26	64	69	59
Auckland	2017-01-27	64	69	60
Auckland	2017-01-28	66	71	60
Auckland	2017-01-29	64	73	55
Auckland	2017-01-30	66	73	59
Auckland	2017-01-31	70	75	64
Auckland	2017-02-01	68	75	60
Auckland	2017-02-02	70	77	64
Auckland	2017-02-03	70	75	64
Auckland	2017-02-04	68	73	62
Auckland	2017-02-05	68	75	62
Auckland	2017-02-06	67	77	57
Auckland	2017-02-07	73	80	66
Auckland	2017-02-08	68	71	62
Auckland	2017-02-09	66	73	59
Auckland	2017-02-10	64	71	57
Auckland	2017-02-11	66	71	60
Auckland	2017-02-12	66	75	57
Auckland	2017-02-13	74	80	66
Auckland	2017-02-14	65	66	64
Auckland	2017-02-15	68	75	60
Auckland	2017-02-16	64	68	59
Auckland	2017-02-17	66	69	62
Auckland	2017-02-18	71	78	64
Auckland	2017-02-19	74	80	68
Auckland	2017-02-20	72	77	66
Auckland	2017-02-21	68	77	59
Auckland	2017-02-22	68	75	62
Auckland	2017-02-23	68	77	59
Auckland	2017-02-24	70	77	62
Auckland	2017-02-25	70	75	64
Auckland	2017-02-26	68	75	62
Auckland	2017-02-27	70	80	59
Auckland	2017-02-28	70	77	62
Auckland	2017-03-01	68	75	62
Auckland	2017-03-02	68	73	60
Auckland	2017-03-03	65	71	59
Auckland	2017-03-04	68	75	62
Auckland	2017-03-05	68	71	66
Auckland	2017-03-06	68	73	62
Auckland	2017-03-07	66	71	60
Auckland	2017-03-08	64	69	60
Auckland	2017-03-09	66	73	60
Auckland	2017-03-10	70	73	66
Auckland	2017-03-11	70	73	66
Auckland	2017-03-12	70	73	66
Auckland	2017-03-13	66	71	62
Auckland	2017-03-14	64	68	60
Auckland	2017-03-15	62	71	53
Auckland	2017-03-16	63	73	53
Auckland	2017-03-17	65	73	57
Auckland	2017-03-18	66	71	62
Auckland	2017-03-19	65	73	57
Auckland	2017-03-20	64	73	55
Auckland	2017-03-21	66	71	62
Auckland	2017-03-22	68	73	64
Auckland	2017-03-23	66	71	62
Auckland	2017-03-24	66	73	59
Auckland	2017-03-25	68	73	62
Auckland	2017-03-26	70	75	64
Auckland	2017-03-27	70	75	64
Auckland	2017-03-28	70	78	62
Auckland	2017-03-29	66	69	64
Auckland	2017-03-30	66	71	62
Auckland	2017-03-31	64	69	60
Auckland	2017-04-01	66	75	57
Auckland	2017-04-02	68	75	62
Auckland	2017-04-03	70	75	66
Auckland	2017-04-04	66	73	60
Auckland	2017-04-05	70	77	62
Auckland	2017-04-06	64	68	60
Auckland	2017-04-07	64	68	59
Auckland	2017-04-08	61	69	53
Auckland	2017-04-09	60	68	53
Auckland	2017-04-10	65	73	57
Auckland	2017-04-11	68	75	60
Auckland	2017-04-12	68	69	66
Auckland	2017-04-13	65	68	62
Auckland	2017-04-14	66	71	60
Auckland	2017-04-15	62	68	57
Auckland	2017-04-16	63	69	57
Auckland	2017-04-17	62	66	57
Auckland	2017-04-18	62	68	55
Auckland	2017-04-19	58	66	51
Auckland	2017-04-20	62	66	57
Auckland	2017-04-21	56	62	51
Auckland	2017-04-22	62	68	55
Auckland	2017-04-23	58	66	51
Auckland	2017-04-24	62	66	57
Auckland	2017-04-25	60	68	51
Auckland	2017-04-26	58	68	48
Auckland	2017-04-27	60	71	50
Auckland	2017-04-28	62	71	53
Auckland	2017-04-29	63	66	60
Auckland	2017-04-30	60	66	55
Auckland	2017-05-01	54	60	46
Auckland	2017-05-02	52	60	44
Auckland	2017-05-03	52	62	42
Auckland	2017-05-04	60	62	57
Auckland	2017-05-05	58	64	51
Auckland	2017-05-06	55	64	46
Auckland	2017-05-07	55	64	46
Auckland	2017-05-08	58	66	51
Auckland	2017-05-09	60	69	51
Auckland	2017-05-10	62	68	57
Auckland	2017-05-11	64	66	62
Auckland	2017-05-12	62	66	57
Auckland	2017-05-13	54	59	48
Auckland	2017-05-14	50	59	42
Auckland	2017-05-15	58	62	53
Auckland	2017-05-16	56	62	51
Auckland	2017-05-17	64	68	59
Auckland	2017-05-18	62	64	59
Auckland	2017-05-19	58	60	55
Auckland	2017-05-20	56	60	51
Auckland	2017-05-21	50	57	42
Auckland	2017-05-22	47	57	37
Auckland	2017-05-23	48	60	37
Auckland	2017-05-24	58	66	50
Auckland	2017-05-25	52	60	44
Auckland	2017-05-26	55	66	44
Auckland	2017-05-27	60	64	57
Auckland	2017-05-28	58	62	55
Auckland	2017-05-29	58	62	53
Auckland	2017-05-30	58	62	53
Auckland	2017-05-31	56	62	51
Auckland	2017-06-01	55	62	48
Auckland	2017-06-02	56	60	53
Auckland	2017-06-03	54	59	50
Auckland	2017-06-04	52	59	46
Auckland	2017-06-05	56	62	48
Auckland	2017-06-06	50	59	42
Auckland	2017-06-07	54	59	48
Auckland	2017-06-08	50	57	44
Auckland	2017-06-09	50	57	42
Auckland	2017-06-10	56	60	51
Auckland	2017-06-11	52	59	46
Auckland	2017-06-12	55	60	50
Auckland	2017-06-13	56	62	50
Auckland	2017-06-14	57	59	55
Auckland	2017-06-15	52	57	46
Auckland	2017-06-16	56	60	51
Auckland	2017-06-17	50	57	44
Auckland	2017-06-18	53	60	46
Auckland	2017-06-19	56	62	50
Auckland	2017-06-20	55	64	46
Auckland	2017-06-21	55	60	50
Auckland	2017-06-22	60	62	57
Auckland	2017-06-23	58	60	55
Auckland	2017-06-24	56	59	53
Auckland	2017-06-25	56	62	50
Auckland	2017-06-26	52	57	48
Auckland	2017-06-27	49	57	41
Auckland	2017-06-28	50	57	42
Auckland	2017-06-29	50	57	44
Auckland	2017-06-30	50	60	41
Auckland	2017-07-01	58	60	55
Auckland	2017-07-02	54	59	50
Auckland	2017-07-03	54	59	50
Auckland	2017-07-04	52	59	46
Auckland	2017-07-05	55	59	51
Auckland	2017-07-06	56	62	50
Auckland	2017-07-07	55	59	51
Auckland	2017-07-08	52	60	44
