	city	date	avg_temp	high_temp	low_temp	daily_delta
2924	San Diego	2016-01-01	55	65	44	21
2925	San Diego	2016-01-02	55	64	45	19
2926	San Diego	2016-01-03	56	63	48	15
2927	San Diego	2016-01-04	60	64	56	8
2928	San Diego	2016-01-05	60	61	58	3
2929	San Diego	2016-01-06	58	62	54	8
2930	San Diego	2016-01-07	57	61	53	8
2931	San Diego	2016-01-08	56	62	50	12
2932	San Diego	2016-01-09	55	61	48	13
2933	San Diego	2016-01-10	58	61	54	7
2934	San Diego	2016-01-11	57	64	50	14
2935	San Diego	2016-01-12	57	69	45	24
2936	San Diego	2016-01-13	60	61	58	3
2937	San Diego	2016-01-14	57	64	50	14
2938	San Diego	2016-01-15	57	61	53	8
2939	San Diego	2016-01-16	59	66	52	14
2940	San Diego	2016-01-17	61	70	52	18
2941	San Diego	2016-01-18	60	63	57	6
2942	San Diego	2016-01-19	59	64	53	11
2943	San Diego	2016-01-20	63	67	58	9
2944	San Diego	2016-01-21	62	70	53	17
2945	San Diego	2016-01-22	61	70	52	18
2946	San Diego	2016-01-23	60	66	53	13
2947	San Diego	2016-01-24	59	65	53	12
2948	San Diego	2016-01-25	58	66	50	16
2949	San Diego	2016-01-26	61	72	49	23
2950	San Diego	2016-01-27	61	71	50	21
2951	San Diego	2016-01-28	63	72	53	19
2952	San Diego	2016-01-29	61	70	52	18
2953	San Diego	2016-01-30	60	66	54	12
2954	San Diego	2016-01-31	59	61	57	4
2955	San Diego	2016-02-01	57	60	54	6
2956	San Diego	2016-02-02	52	60	44	16
2957	San Diego	2016-02-03	55	63	46	17
2958	San Diego	2016-02-04	58	68	47	21
2959	San Diego	2016-02-05	61	73	48	25
2960	San Diego	2016-02-06	63	76	50	26
2961	San Diego	2016-02-07	65	80	50	30
2962	San Diego	2016-02-08	69	84	53	31
2963	San Diego	2016-02-09	70	83	57	26
2964	San Diego	2016-02-10	72	86	57	29
2965	San Diego	2016-02-11	70	84	56	28
2966	San Diego	2016-02-12	68	80	55	25
2967	San Diego	2016-02-13	63	73	52	21
2968	San Diego	2016-02-14	63	74	51	23
2969	San Diego	2016-02-15	71	84	58	26
2970	San Diego	2016-02-16	74	89	59	30
2971	San Diego	2016-02-17	66	73	59	14
2972	San Diego	2016-02-18	65	68	61	7
2973	San Diego	2016-02-19	61	67	55	12
2974	San Diego	2016-02-20	61	70	52	18
2975	San Diego	2016-02-21	63	69	56	13
2976	San Diego	2016-02-22	63	73	52	21
2977	San Diego	2016-02-23	65	76	54	22
2978	San Diego	2016-02-24	67	78	56	22
2979	San Diego	2016-02-25	68	81	55	26
2980	San Diego	2016-02-26	64	73	54	19
2981	San Diego	2016-02-27	64	73	55	18
2982	San Diego	2016-02-28	64	69	58	11
2983	San Diego	2016-02-29	64	70	58	12
2984	San Diego	2016-03-01	65	72	58	14
2985	San Diego	2016-03-02	62	69	55	14
2986	San Diego	2016-03-03	62	68	56	12
2987	San Diego	2016-03-04	63	67	59	8
2988	San Diego	2016-03-05	66	71	61	10
2989	San Diego	2016-03-06	63	67	58	9
2990	San Diego	2016-03-07	57	62	52	10
2991	San Diego	2016-03-08	57	66	48	18
2992	San Diego	2016-03-09	62	71	53	18
2993	San Diego	2016-03-10	64	71	56	15
2994	San Diego	2016-03-11	63	67	59	8
2995	San Diego	2016-03-12	61	64	57	7
2996	San Diego	2016-03-13	62	67	56	11
2997	San Diego	2016-03-14	65	69	60	9
2998	San Diego	2016-03-15	64	71	56	15
2999	San Diego	2016-03-16	66	74	58	16
3000	San Diego	2016-03-17	66	72	60	12
3001	San Diego	2016-03-18	65	70	60	10
3002	San Diego	2016-03-19	64	68	59	9
3003	San Diego	2016-03-20	64	69	59	10
3004	San Diego	2016-03-21	64	68	60	8
3005	San Diego	2016-03-22	63	67	59	8
3006	San Diego	2016-03-23	64	73	54	19
3007	San Diego	2016-03-24	66	76	55	21
3008	San Diego	2016-03-25	66	75	56	19
3009	San Diego	2016-03-26	64	68	60	8
3010	San Diego	2016-03-27	63	67	58	9
3011	San Diego	2016-03-28	62	64	60	4
3012	San Diego	2016-03-29	61	65	56	9
3013	San Diego	2016-03-30	59	64	53	11
3014	San Diego	2016-03-31	60	68	52	16
3015	San Diego	2016-04-01	62	67	57	10
3016	San Diego	2016-04-02	64	71	57	14
3017	San Diego	2016-04-03	63	69	56	13
3018	San Diego	2016-04-04	64	71	56	15
3019	San Diego	2016-04-05	65	74	56	18
3020	San Diego	2016-04-06	67	76	58	18
3021	San Diego	2016-04-07	64	66	62	4
3022	San Diego	2016-04-08	63	67	59	8
3023	San Diego	2016-04-09	64	68	59	9
3024	San Diego	2016-04-10	64	68	59	9
3025	San Diego	2016-04-11	65	71	59	12
3026	San Diego	2016-04-12	65	70	60	10
3027	San Diego	2016-04-13	65	69	61	8
3028	San Diego	2016-04-14	66	70	61	9
3029	San Diego	2016-04-15	65	71	58	13
3030	San Diego	2016-04-16	69	81	57	24
3031	San Diego	2016-04-17	73	86	59	27
3032	San Diego	2016-04-18	74	87	62	25
3033	San Diego	2016-04-19	74	85	63	22
3034	San Diego	2016-04-20	72	83	60	23
3035	San Diego	2016-04-21	68	76	60	16
3036	San Diego	2016-04-22	68	72	63	9
3037	San Diego	2016-04-23	67	71	62	9
3038	San Diego	2016-04-24	64	68	60	8
3039	San Diego	2016-04-25	62	65	59	6
3040	San Diego	2016-04-26	63	69	56	13
3041	San Diego	2016-04-27	63	67	58	9
3042	San Diego	2016-04-28	62	65	58	7
3043	San Diego	2016-04-29	64	68	59	9
3044	San Diego	2016-04-30	62	67	57	10
3045	San Diego	2016-05-01	64	68	59	9
3046	San Diego	2016-05-02	64	70	58	12
3047	San Diego	2016-05-03	65	70	59	11
3048	San Diego	2016-05-04	64	67	61	6
3049	San Diego	2016-05-05	65	67	62	5
3050	San Diego	2016-05-06	65	71	59	12
3051	San Diego	2016-05-07	64	69	59	10
3052	San Diego	2016-05-08	66	71	60	11
3053	San Diego	2016-05-09	67	71	62	9
3054	San Diego	2016-05-10	67	71	63	8
3055	San Diego	2016-05-11	67	71	63	8
3056	San Diego	2016-05-12	67	70	63	7
3057	San Diego	2016-05-13	66	70	62	8
3058	San Diego	2016-05-14	63	64	62	2
3059	San Diego	2016-05-15	65	68	62	6
3060	San Diego	2016-05-16	65	68	61	7
3061	San Diego	2016-05-17	65	66	63	3
3062	San Diego	2016-05-18	68	72	64	8
3063	San Diego	2016-05-19	66	69	62	7
3064	San Diego	2016-05-20	64	66	62	4
